school_name, school_authoratative_name
Tufts University. School of Arts and Sciences.,School of Arts and Sciences
Fletcher School of Law and Diplomacy.,The Fletcher School
Tufts University. School of Engineering.,School of Engineering
Gerald J. & Dorothy R. Friedman School of Nutrition Science and Policy.,School of Nutrition
Gerald J. & Dorothy R. Friedman School of Nutrition Science and Policy.,School of Medicine
Tufts University. Cummings School of Veterinary Medicine.,School of Veterinary Medicine
Tufts University. School of Dental Medicine.,School of Dental Medicine
Sackler School of Graduate Biomedical Sciences.,Sackler School of Graduate Biomedical Sciences
