Course Title
UEP 0232: Intro to GIS- GIS for Urban Analysis
GIS 101/ ENV 107/ INTR 81: Introduction to Geographic Information Systems
Fletcher DHP P207: GIS for International Applications
CEE 187: Geographic Information Systems
"Nutr 231: Fundamentals of GIS for Food, Agriculture, and Environmental Applications"
CEE 194A: Introduction to Remote Sensing
EOS 104: Geological Applications of GIS
GIS 102/ UEP 29422/ ENV 197: Advanced Geographic Information Systems 
PH 0262: GIS for Public Health
GIS for Conservation Medicine
